,topic,words,label,extr_words
0,0,"0.076*""code"" + 0.067*""error"" + 0.034*""run"" + 0.033*""problem"" + 0.030*""work"" + 0.021*""python"" + 0.020*""follow"" + 0.017*""issue"" + 0.017*""change"" + 0.015*""line""",TBD,code error run problem work python follow issue change line
1,1,"0.087*""datum"" + 0.067*""set"" + 0.061*""test"" + 0.057*""training"" + 0.054*""train"" + 0.050*""model"" + 0.036*""dataset"" + 0.021*""data"" + 0.016*""sample"" + 0.016*""prediction""",TBD,datum set test training train model dataset data sample prediction
2,2,"0.097*""feature"" + 0.046*""variable"" + 0.034*""model"" + 0.024*""datum"" + 0.017*""column"" + 0.016*""categorical"" + 0.014*""regression"" + 0.009*""target"" + 0.009*""miss"" + 0.008*""data""",TBD,feature variable model datum column categorical regression target miss data
3,3,"0.054*""function"" + 0.040*""loss"" + 0.022*""gradient"" + 0.022*""weight"" + 0.016*""learn"" + 0.016*""parameter"" + 0.012*""learning"" + 0.011*""rate"" + 0.011*""update"" + 0.010*""cost""",TBD,function loss gradient weight learn parameter learning rate update cost
4,4,"0.040*""kaggle"" + 0.040*""kernel"" + 0.038*""https"" + 0.036*""dataset"" + 0.025*""file"" + 0.021*""notebook"" + 0.020*""www"" + 0.017*""download"" + 0.011*""link"" + 0.010*""github""",TBD,kaggle kernel https dataset file notebook www download link github
5,5,"0.043*""shape"" + 0.035*""input"" + 0.035*""tensor"" + 0.032*""tensorflow"" + 0.024*""array"" + 0.023*""lstm"" + 0.022*""dimension"" + 0.020*""output"" + 0.020*""size"" + 0.018*""batch""",TBD,shape input tensor tensorflow array lstm dimension output size batch
6,6,"0.076*""tensorflow"" + 0.065*""python"" + 0.025*""file"" + 0.022*""version"" + 0.021*""error"" + 0.020*""py"" + 0.020*""install"" + 0.019*""instal"" + 0.017*""run"" + 0.016*""line""",TBD,tensorflow python file version error py install instal run line
7,7,"0.123*""tensorflow"" + 0.035*""model"" + 0.026*""tf"" + 0.026*""graph"" + 0.024*""python"" + 0.023*""variable"" + 0.015*""code"" + 0.014*""tensor"" + 0.014*""create"" + 0.013*""function""",TBD,tensorflow model tf graph python variable code tensor create function
8,8,"0.029*""datum"" + 0.016*""user"" + 0.015*""day"" + 0.012*""year"" + 0.011*""data"" + 0.009*""product"" + 0.009*""date"" + 0.008*""month"" + 0.008*""dataset"" + 0.007*""predict""",TBD,datum user day year data product date month dataset predict
9,9,"0.062*""class"" + 0.037*""classification"" + 0.031*""classifier"" + 0.029*""label"" + 0.027*""machine"" + 0.021*""svm"" + 0.018*""scikit_learn"" + 0.018*""learning"" + 0.016*""model"" + 0.014*""learn""",TBD,class classification classifier label machine svm scikit_learn learning model learn
10,10,"0.027*""time"" + 0.013*""good"" + 0.012*""make"" + 0.010*""problem"" + 0.009*""point"" + 0.007*""question"" + 0.007*""thing"" + 0.007*""find"" + 0.007*""work"" + 0.007*""approach""",TBD,time good make problem point question thing find work approach
11,11,"0.114*""network"" + 0.077*""neural"" + 0.072*""layer"" + 0.044*""output"" + 0.035*""input"" + 0.021*""learn"" + 0.016*""weight"" + 0.013*""deep"" + 0.012*""neuron"" + 0.012*""conv""",TBD,network neural layer output input learn weight deep neuron conv
12,12,"0.049*""word"" + 0.036*""text"" + 0.019*""document"" + 0.015*""sentence"" + 0.015*""vector"" + 0.011*""nlp"" + 0.011*""model"" + 0.009*""embed"" + 0.009*""feature"" + 0.008*""question""",TBD,word text document sentence vector nlp model embed feature question
13,13,"0.114*""model"" + 0.042*""keras"" + 0.032*""kera"" + 0.029*""train"" + 0.025*""image"" + 0.022*""loss"" + 0.021*""training"" + 0.018*""layer"" + 0.016*""learn"" + 0.014*""pytorch""",TBD,model keras kera train image loss training layer learn pytorch
14,14,"0.041*""score"" + 0.032*""lb"" + 0.031*""model"" + 0.021*""cv"" + 0.018*""good"" + 0.016*""feature"" + 0.015*""public"" + 0.013*""competition"" + 0.012*""share"" + 0.012*""fold""",TBD,score lb model cv good feature public competition share fold
15,15,"0.033*""gpu"" + 0.030*""memory"" + 0.027*""run"" + 0.016*""time"" + 0.012*""cpu"" + 0.011*""machine"" + 0.010*""process"" + 0.009*""gb"" + 0.009*""size"" + 0.009*""datum""",TBD,gpu memory run time cpu machine process gb size datum
16,16,"0.064*""kernel"" + 0.041*""great"" + 0.041*""work"" + 0.040*""share"" + 0.028*""nice"" + 0.025*""good"" + 0.025*""kaggle"" + 0.019*""https"" + 0.016*""www"" + 0.016*""notebook""",TBD,kernel great work share nice good kaggle https www notebook
17,17,"0.055*""competition"" + 0.034*""submission"" + 0.026*""kaggle"" + 0.025*""team"" + 0.014*""submit"" + 0.014*""score"" + 0.011*""leaderboard"" + 0.011*""make"" + 0.009*""rule"" + 0.009*""stage""",TBD,competition submission kaggle team submit score leaderboard make rule stage
18,18,"0.027*""score"" + 0.024*""probability"" + 0.019*""prediction"" + 0.018*""metric"" + 0.016*""distribution"" + 0.015*""predict"" + 0.015*""calculate"" + 0.012*""model"" + 0.012*""result"" + 0.011*""give""",TBD,score probability prediction metric distribution predict calculate model result give
19,19,"0.044*""column"" + 0.044*""file"" + 0.032*""csv"" + 0.026*""row"" + 0.026*""datum"" + 0.017*""data"" + 0.013*""lt"" + 0.013*""_"" + 0.011*""read"" + 0.011*""table""",TBD,column file csv row datum data lt _ read table
20,20,"0.132*""image"" + 0.019*""opencv"" + 0.014*""pixel"" + 0.013*""object"" + 0.012*""detect"" + 0.010*""detection"" + 0.010*""find"" + 0.010*""face"" + 0.009*""video"" + 0.008*""feature""",TBD,image opencv pixel object detect detection find face video feature
21,21,"0.060*""file"" + 0.032*""opencv"" + 0.026*""caffe"" + 0.017*""java"" + 0.016*""library"" + 0.014*""build"" + 0.012*""android"" + 0.009*""project"" + 0.009*""convert"" + 0.009*""find""",TBD,file opencv caffe java library build android project convert find
22,22,"0.033*""learn"" + 0.027*""datum"" + 0.024*""machine"" + 0.019*""learning"" + 0.015*""data"" + 0.014*""good"" + 0.013*""https"" + 0.013*""python"" + 0.011*""science"" + 0.010*""start""",TBD,learn datum machine learning data good https python science start
23,23,"0.077*""cluster"" + 0.027*""point"" + 0.021*""distance"" + 0.020*""datum"" + 0.019*""matrix"" + 0.018*""algorithm"" + 0.013*""pca"" + 0.013*""analysis"" + 0.011*""number"" + 0.011*""vector""",TBD,cluster point distance datum matrix algorithm pca analysis number vector
