topic,label
0,T0: Generic Errors
1,T1: Training a Model
2,T2: Feature Selection and Regression
3,T3: Performance Optimisation
4,T4: Online Dataset Sharing
5,"T5: Tensor/Array Input Shape"
6,"T6: Tensorflow Installation"
7,"T7: Tensorflow"
8,T8: Dataset-specific Discussion
9,T9: Classification
10,T10: Processing Scientific/Field Data
11,T11: Neural Networks
12,T12: Natural Language Processing
13,T13: Keras
14,T14: Kaggle Leaderboards
15,"T15: Big Data and GPU"
16,T16: Compliments
17,"T17: Kaggle Competitions/Teams"
18,T18: Evaluation and Prediction
19,"T19: Data Manipulation/File IO"
20,T20: Computer Vision
21,"T21: OpenCV, Android, Caffe"
22,T22: Learning ML and DL
23,T23: Clustering
